parquet_column_name,official_feature_name,feature_meaning,source_column,calculation_method,current_status,suggested_action,used_in_ml,reason,notes,mapped_to_parquet_column
(없음-alias),raw__tx__cur__payfmt__enc__wcur,payment_format code (ML파트명),payment_format,-,alias_of_existing,alias_only,False,cat__payment_format__code와 동일 값. 실제 사용 여부는 mapped parquet 컬럼 기준,실제 사용 여부는 mapped parquet 컬럼 기준,cat__payment_format__code
label,(없음),세탁 여부 라벨,Is Laundering,rename,exists_meta,exclude,False,model input 제외. label leakage,"parquet에 유지, ML feature 자동 차단(ml_io)",
timestamp,(없음),거래 시간 원본,Timestamp,cast datetime,exists_meta,exclude,False,model input 제외. meta,"parquet에 유지, Xy 파일에서 제거",
tx_id,(없음),거래 ID,없음/row index,auto gen,exists_meta,exclude,False,model input 제외. ID,후속 파트 meta로 보존,
sender_account,(없음),송신 계좌,Account,rename,exists_meta,exclude,False,model input 제외. 계좌ID는 후속 파트 meta,,
receiver_account,(없음),수신 계좌,Account.1,rename,exists_meta,exclude,False,model input 제외. 계좌ID는 후속 파트 meta,,
split,(없음),train/val/test 구분,없음,time-sorted split,exists_meta,exclude,False,model input 제외. split 컬럼,ml_io 자동 차단,
timehist__snd__out__tx_count__count__w1h,th__snd__out__txcnt__cnt__w1h,sender 1h 이전 송금 건수,"sender_account,timestamp",window count past-only,exists_in_ml01,keep,False,ml_exp01 관리. ts<current 조건. 기본 used_in_ml=False,ml_exp01 실험 시 활성화 가능,
timehist__snd__out__amount__sum__w1d,th__snd__out__amt__sum__w1d,sender 1d 이전 송금 금액합,"sender_account,amount,timestamp",window sum past-only,exists_in_ml01,keep,False,ml_exp01 관리. 기본 used_in_ml=False,ml_exp01 실험 시 활성화 가능,
(ML-01 history 전체),th__* 계열,sender/receiver 과거 집계,"sender/receiver,amount,timestamp",window past-only agg,exists_in_ml01,keep,False,ml_exp01 관리. 기본 used_in_ml=False. 상세는 feature_catalog 참조,ml_exp01 실험 시 활성화 가능,
