exp-id,피쳐명,설명,used_in_ml,원천 데이터,계산 방식,데이터 타입,단위 (보류),time window,결측 처리,이상치 처리,누수 위험,품질 기준,사용 여부,비고,담당파트
ml-00,amount__paid_recv_ratio,현재 거래 지급 금액과 수취 금액의 비율,True,ml_exp00.parquet: amount__paid_recv_ratio,현재 거래 지급 금액 / 현재 거래 수취 금액 비율 계산,numeric,비율,현재 거래,수취 금액 0 또는 결측 시 처리 정책 확인 필요,,낮음: 현재 거래 원천 금액 기반. 라벨/미래 정보 미사용,,사용,,ML
ml-00,cat__time_hour__xgb_cat,time hour 범주형 피처,False,ml_exp00.parquet: time__row__hour,time__row__hour를 XGBoost native categorical dtype으로 인코딩; category manifest는 train split 기준,categorical,시각 코드,현재 거래,train에 없던 범주는 unknown category로 처리,,"낮음: 현재 row 값 사용, category manifest는 train 기준",,제외 ,,ML
ml-00,cat__time_dayofweek__xgb_cat,time dayofweek 범주형 피처,True,ml_exp00.parquet: time__row__dayofweek,time__row__dayofweek를 XGBoost native categorical dtype으로 인코딩; category manifest는 train split 기준,categorical,요일 코드,현재 거래,train에 없던 범주는 unknown category로 처리,,"낮음: 현재 row 값 사용, category manifest는 train 기준",,사용,,ML
ml-00,cat__time_is_weekend__xgb_cat,time is weekend 범주형 피처,True,ml_exp00.parquet: time__row__is_weekend,time__row__is_weekend를 XGBoost native categorical dtype으로 인코딩; category manifest는 train split 기준,categorical,0/1,현재 거래,train에 없던 범주는 unknown category로 처리,,"낮음: 현재 row 값 사용, category manifest는 train 기준",,사용,,ML
ml-00,cat__from_bank__xgb_cat,from bank 범주형 피처,False,ml_exp00.parquet: From Bank,From Bank를 XGBoost native categorical dtype으로 인코딩; category manifest는 train split 기준,categorical,범주,현재 거래,train에 없던 범주는 unknown category로 처리,,"낮음: 현재 row 값 사용, category manifest는 train 기준",,사용,,ML
ml-00,cat__to_bank__xgb_cat,to bank 범주형 피처,False,ml_exp00.parquet: To Bank,To Bank를 XGBoost native categorical dtype으로 인코딩; category manifest는 train split 기준,categorical,범주,현재 거래,train에 없던 범주는 unknown category로 처리,,"낮음: 현재 row 값 사용, category manifest는 train 기준",,사용,,ML
ml-00,cat__bank_pair__xgb_cat,bank pair 범주형 피처,False,ml_exp00.parquet: cat__bank_pair__code,cat__bank_pair__code를 XGBoost native categorical dtype으로 인코딩; category manifest는 train split 기준,categorical,범주,현재 거래,train에 없던 범주는 unknown category로 처리,,"낮음: 현재 row 값 사용, category manifest는 train 기준",,사용,,ML
ml-00,cat__payment_currency__xgb_cat,payment currency 범주형 피처,False,ml_exp00.parquet: Payment Currency,Payment Currency를 XGBoost native categorical dtype으로 인코딩; category manifest는 train split 기준,categorical,범주,현재 거래,train에 없던 범주는 unknown category로 처리,,"낮음: 현재 row 값 사용, category manifest는 train 기준",,사용,,ML
ml-00,cat__receiving_currency__xgb_cat,receiving currency 범주형 피처,True,ml_exp00.parquet: Receiving Currency,Receiving Currency를 XGBoost native categorical dtype으로 인코딩; category manifest는 train split 기준,categorical,범주,현재 거래,train에 없던 범주는 unknown category로 처리,,"낮음: 현재 row 값 사용, category manifest는 train 기준",,사용,,ML
ml-00,cat__currency_pair__xgb_cat,currency pair 범주형 피처,True,ml_exp00.parquet: cat__currency_pair__code,cat__currency_pair__code를 XGBoost native categorical dtype으로 인코딩; category manifest는 train split 기준,categorical,범주,현재 거래,train에 없던 범주는 unknown category로 처리,,"낮음: 현재 row 값 사용, category manifest는 train 기준",,사용,,ML
ml-00,cat__payment_format__xgb_cat,payment format 범주형 피처,True,ml_exp00.parquet: Payment Format,Payment Format를 XGBoost native categorical dtype으로 인코딩; category manifest는 train split 기준,categorical,범주,현재 거래,train에 없던 범주는 unknown category로 처리,,"낮음: 현재 row 값 사용, category manifest는 train 기준",,사용,,ML
ml-01,timehist__sender__out__tx_count__count__w1h,송신 계좌의 과거 1h 출금 거래 건수,True,"ml_exp00.parquet: sender_account_id, timestamp, amount",sender_account_id별 현재 거래 시점 이전 1h 동안 amount의 count 집계; closed=left로 현재/동일시각 거래 제외,numeric,회,현재 거래 시점 이전 1h,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__sender__out__amount__sum__w1h,송신 계좌의 과거 1h 출금 금액 합계,True,"ml_exp00.parquet: sender_account_id, timestamp, amount",sender_account_id별 현재 거래 시점 이전 1h 동안 amount의 sum 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 1h,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__sender__out__amount__mean__w1h,송신 계좌의 과거 1h 출금 금액 평균,True,"ml_exp00.parquet: sender_account_id, timestamp, amount",sender_account_id별 현재 거래 시점 이전 1h 동안 amount의 mean 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 1h,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__sender__out__amount__std__w1h,송신 계좌의 과거 1h 출금 금액 표준편차,True,"ml_exp00.parquet: sender_account_id, timestamp, amount",sender_account_id별 현재 거래 시점 이전 1h 동안 amount의 std 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 1h,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__sender__out__amount__max__w1h,송신 계좌의 과거 1h 출금 금액 최대값,True,"ml_exp00.parquet: sender_account_id, timestamp, amount",sender_account_id별 현재 거래 시점 이전 1h 동안 amount의 max 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 1h,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__sender__out__tx_count__count__w6h,송신 계좌의 과거 6h 출금 거래 건수,True,"ml_exp00.parquet: sender_account_id, timestamp, amount",sender_account_id별 현재 거래 시점 이전 6h 동안 amount의 count 집계; closed=left로 현재/동일시각 거래 제외,numeric,회,현재 거래 시점 이전 6h,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__sender__out__amount__sum__w6h,송신 계좌의 과거 6h 출금 금액 합계,True,"ml_exp00.parquet: sender_account_id, timestamp, amount",sender_account_id별 현재 거래 시점 이전 6h 동안 amount의 sum 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 6h,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__sender__out__amount__mean__w6h,송신 계좌의 과거 6h 출금 금액 평균,True,"ml_exp00.parquet: sender_account_id, timestamp, amount",sender_account_id별 현재 거래 시점 이전 6h 동안 amount의 mean 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 6h,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__sender__out__amount__std__w6h,송신 계좌의 과거 6h 출금 금액 표준편차,True,"ml_exp00.parquet: sender_account_id, timestamp, amount",sender_account_id별 현재 거래 시점 이전 6h 동안 amount의 std 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 6h,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__sender__out__amount__max__w6h,송신 계좌의 과거 6h 출금 금액 최대값,True,"ml_exp00.parquet: sender_account_id, timestamp, amount",sender_account_id별 현재 거래 시점 이전 6h 동안 amount의 max 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 6h,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__sender__out__tx_count__count__w1d,송신 계좌의 과거 1d 출금 거래 건수,True,"ml_exp00.parquet: sender_account_id, timestamp, amount",sender_account_id별 현재 거래 시점 이전 1d 동안 amount의 count 집계; closed=left로 현재/동일시각 거래 제외,numeric,회,현재 거래 시점 이전 1d,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__sender__out__amount__sum__w1d,송신 계좌의 과거 1d 출금 금액 합계,True,"ml_exp00.parquet: sender_account_id, timestamp, amount",sender_account_id별 현재 거래 시점 이전 1d 동안 amount의 sum 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 1d,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__sender__out__amount__mean__w1d,송신 계좌의 과거 1d 출금 금액 평균,True,"ml_exp00.parquet: sender_account_id, timestamp, amount",sender_account_id별 현재 거래 시점 이전 1d 동안 amount의 mean 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 1d,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__sender__out__amount__std__w1d,송신 계좌의 과거 1d 출금 금액 표준편차,True,"ml_exp00.parquet: sender_account_id, timestamp, amount",sender_account_id별 현재 거래 시점 이전 1d 동안 amount의 std 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 1d,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__sender__out__amount__max__w1d,송신 계좌의 과거 1d 출금 금액 최대값,True,"ml_exp00.parquet: sender_account_id, timestamp, amount",sender_account_id별 현재 거래 시점 이전 1d 동안 amount의 max 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 1d,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__sender__out__tx_count__count__w3d,송신 계좌의 과거 3d 출금 거래 건수,True,"ml_exp00.parquet: sender_account_id, timestamp, amount",sender_account_id별 현재 거래 시점 이전 3d 동안 amount의 count 집계; closed=left로 현재/동일시각 거래 제외,numeric,회,현재 거래 시점 이전 3d,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__sender__out__amount__sum__w3d,송신 계좌의 과거 3d 출금 금액 합계,True,"ml_exp00.parquet: sender_account_id, timestamp, amount",sender_account_id별 현재 거래 시점 이전 3d 동안 amount의 sum 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 3d,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__sender__out__amount__mean__w3d,송신 계좌의 과거 3d 출금 금액 평균,True,"ml_exp00.parquet: sender_account_id, timestamp, amount",sender_account_id별 현재 거래 시점 이전 3d 동안 amount의 mean 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 3d,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__sender__out__amount__std__w3d,송신 계좌의 과거 3d 출금 금액 표준편차,True,"ml_exp00.parquet: sender_account_id, timestamp, amount",sender_account_id별 현재 거래 시점 이전 3d 동안 amount의 std 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 3d,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__sender__out__amount__max__w3d,송신 계좌의 과거 3d 출금 금액 최대값,True,"ml_exp00.parquet: sender_account_id, timestamp, amount",sender_account_id별 현재 거래 시점 이전 3d 동안 amount의 max 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 3d,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__sender__out__tx_count__count__w7d,송신 계좌의 과거 7d 출금 거래 건수,True,"ml_exp00.parquet: sender_account_id, timestamp, amount",sender_account_id별 현재 거래 시점 이전 7d 동안 amount의 count 집계; closed=left로 현재/동일시각 거래 제외,numeric,회,현재 거래 시점 이전 7d,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__sender__out__amount__sum__w7d,송신 계좌의 과거 7d 출금 금액 합계,True,"ml_exp00.parquet: sender_account_id, timestamp, amount",sender_account_id별 현재 거래 시점 이전 7d 동안 amount의 sum 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 7d,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__sender__out__amount__mean__w7d,송신 계좌의 과거 7d 출금 금액 평균,True,"ml_exp00.parquet: sender_account_id, timestamp, amount",sender_account_id별 현재 거래 시점 이전 7d 동안 amount의 mean 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 7d,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__sender__out__amount__std__w7d,송신 계좌의 과거 7d 출금 금액 표준편차,True,"ml_exp00.parquet: sender_account_id, timestamp, amount",sender_account_id별 현재 거래 시점 이전 7d 동안 amount의 std 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 7d,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__sender__out__amount__max__w7d,송신 계좌의 과거 7d 출금 금액 최대값,True,"ml_exp00.parquet: sender_account_id, timestamp, amount",sender_account_id별 현재 거래 시점 이전 7d 동안 amount의 max 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 7d,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__receiver__in__tx_count__count__w1h,수신 계좌의 과거 1h 입금 거래 건수,True,"ml_exp00.parquet: receiver_account_id, timestamp, amount_received",receiver_account_id별 현재 거래 시점 이전 1h 동안 amount_received의 count 집계; closed=left로 현재/동일시각 거래 제외,numeric,회,현재 거래 시점 이전 1h,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__receiver__in__amount__sum__w1h,수신 계좌의 과거 1h 입금 금액 합계,True,"ml_exp00.parquet: receiver_account_id, timestamp, amount_received",receiver_account_id별 현재 거래 시점 이전 1h 동안 amount_received의 sum 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 1h,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__receiver__in__amount__mean__w1h,수신 계좌의 과거 1h 입금 금액 평균,True,"ml_exp00.parquet: receiver_account_id, timestamp, amount_received",receiver_account_id별 현재 거래 시점 이전 1h 동안 amount_received의 mean 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 1h,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__receiver__in__amount__std__w1h,수신 계좌의 과거 1h 입금 금액 표준편차,True,"ml_exp00.parquet: receiver_account_id, timestamp, amount_received",receiver_account_id별 현재 거래 시점 이전 1h 동안 amount_received의 std 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 1h,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__receiver__in__amount__max__w1h,수신 계좌의 과거 1h 입금 금액 최대값,True,"ml_exp00.parquet: receiver_account_id, timestamp, amount_received",receiver_account_id별 현재 거래 시점 이전 1h 동안 amount_received의 max 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 1h,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__receiver__in__tx_count__count__w6h,수신 계좌의 과거 6h 입금 거래 건수,True,"ml_exp00.parquet: receiver_account_id, timestamp, amount_received",receiver_account_id별 현재 거래 시점 이전 6h 동안 amount_received의 count 집계; closed=left로 현재/동일시각 거래 제외,numeric,회,현재 거래 시점 이전 6h,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__receiver__in__amount__sum__w6h,수신 계좌의 과거 6h 입금 금액 합계,True,"ml_exp00.parquet: receiver_account_id, timestamp, amount_received",receiver_account_id별 현재 거래 시점 이전 6h 동안 amount_received의 sum 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 6h,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__receiver__in__amount__mean__w6h,수신 계좌의 과거 6h 입금 금액 평균,True,"ml_exp00.parquet: receiver_account_id, timestamp, amount_received",receiver_account_id별 현재 거래 시점 이전 6h 동안 amount_received의 mean 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 6h,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__receiver__in__amount__std__w6h,수신 계좌의 과거 6h 입금 금액 표준편차,True,"ml_exp00.parquet: receiver_account_id, timestamp, amount_received",receiver_account_id별 현재 거래 시점 이전 6h 동안 amount_received의 std 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 6h,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__receiver__in__amount__max__w6h,수신 계좌의 과거 6h 입금 금액 최대값,True,"ml_exp00.parquet: receiver_account_id, timestamp, amount_received",receiver_account_id별 현재 거래 시점 이전 6h 동안 amount_received의 max 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 6h,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__receiver__in__tx_count__count__w1d,수신 계좌의 과거 1d 입금 거래 건수,True,"ml_exp00.parquet: receiver_account_id, timestamp, amount_received",receiver_account_id별 현재 거래 시점 이전 1d 동안 amount_received의 count 집계; closed=left로 현재/동일시각 거래 제외,numeric,회,현재 거래 시점 이전 1d,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__receiver__in__amount__sum__w1d,수신 계좌의 과거 1d 입금 금액 합계,True,"ml_exp00.parquet: receiver_account_id, timestamp, amount_received",receiver_account_id별 현재 거래 시점 이전 1d 동안 amount_received의 sum 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 1d,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__receiver__in__amount__mean__w1d,수신 계좌의 과거 1d 입금 금액 평균,True,"ml_exp00.parquet: receiver_account_id, timestamp, amount_received",receiver_account_id별 현재 거래 시점 이전 1d 동안 amount_received의 mean 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 1d,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__receiver__in__amount__std__w1d,수신 계좌의 과거 1d 입금 금액 표준편차,True,"ml_exp00.parquet: receiver_account_id, timestamp, amount_received",receiver_account_id별 현재 거래 시점 이전 1d 동안 amount_received의 std 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 1d,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__receiver__in__amount__max__w1d,수신 계좌의 과거 1d 입금 금액 최대값,True,"ml_exp00.parquet: receiver_account_id, timestamp, amount_received",receiver_account_id별 현재 거래 시점 이전 1d 동안 amount_received의 max 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 1d,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__receiver__in__tx_count__count__w3d,수신 계좌의 과거 3d 입금 거래 건수,True,"ml_exp00.parquet: receiver_account_id, timestamp, amount_received",receiver_account_id별 현재 거래 시점 이전 3d 동안 amount_received의 count 집계; closed=left로 현재/동일시각 거래 제외,numeric,회,현재 거래 시점 이전 3d,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__receiver__in__amount__sum__w3d,수신 계좌의 과거 3d 입금 금액 합계,True,"ml_exp00.parquet: receiver_account_id, timestamp, amount_received",receiver_account_id별 현재 거래 시점 이전 3d 동안 amount_received의 sum 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 3d,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__receiver__in__amount__mean__w3d,수신 계좌의 과거 3d 입금 금액 평균,True,"ml_exp00.parquet: receiver_account_id, timestamp, amount_received",receiver_account_id별 현재 거래 시점 이전 3d 동안 amount_received의 mean 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 3d,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__receiver__in__amount__std__w3d,수신 계좌의 과거 3d 입금 금액 표준편차,True,"ml_exp00.parquet: receiver_account_id, timestamp, amount_received",receiver_account_id별 현재 거래 시점 이전 3d 동안 amount_received의 std 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 3d,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__receiver__in__amount__max__w3d,수신 계좌의 과거 3d 입금 금액 최대값,True,"ml_exp00.parquet: receiver_account_id, timestamp, amount_received",receiver_account_id별 현재 거래 시점 이전 3d 동안 amount_received의 max 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 3d,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__receiver__in__tx_count__count__w7d,수신 계좌의 과거 7d 입금 거래 건수,True,"ml_exp00.parquet: receiver_account_id, timestamp, amount_received",receiver_account_id별 현재 거래 시점 이전 7d 동안 amount_received의 count 집계; closed=left로 현재/동일시각 거래 제외,numeric,회,현재 거래 시점 이전 7d,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
