exp-id,피쳐명,설명,used_in_ml,원천 데이터,계산 방식,데이터 타입,단위 (보류),time window,결측 처리,이상치 처리,누수 위험,품질 기준,사용 여부,비고,담당파트
ml-01,timehist__sender__out__amount__max__w6h,송신 계좌의 과거 6h 출금 금액 최대값,,"ml_exp00.parquet: sender_account_id, timestamp, amount",sender_account_id별 현재 거래 시점 이전 6h 동안 amount의 max 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 6h,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__sender__out__tx_count__count__w1d,송신 계좌의 과거 1d 출금 거래 건수,,"ml_exp00.parquet: sender_account_id, timestamp, amount",sender_account_id별 현재 거래 시점 이전 1d 동안 amount의 count 집계; closed=left로 현재/동일시각 거래 제외,numeric,회,현재 거래 시점 이전 1d,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__sender__out__amount__sum__w1d,송신 계좌의 과거 1d 출금 금액 합계,,"ml_exp00.parquet: sender_account_id, timestamp, amount",sender_account_id별 현재 거래 시점 이전 1d 동안 amount의 sum 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 1d,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__sender__out__amount__mean__w1d,송신 계좌의 과거 1d 출금 금액 평균,,"ml_exp00.parquet: sender_account_id, timestamp, amount",sender_account_id별 현재 거래 시점 이전 1d 동안 amount의 mean 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 1d,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__sender__out__amount__std__w1d,송신 계좌의 과거 1d 출금 금액 표준편차,,"ml_exp00.parquet: sender_account_id, timestamp, amount",sender_account_id별 현재 거래 시점 이전 1d 동안 amount의 std 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 1d,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__sender__out__amount__max__w1d,송신 계좌의 과거 1d 출금 금액 최대값,,"ml_exp00.parquet: sender_account_id, timestamp, amount",sender_account_id별 현재 거래 시점 이전 1d 동안 amount의 max 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 1d,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__sender__out__tx_count__count__w3d,송신 계좌의 과거 3d 출금 거래 건수,,"ml_exp00.parquet: sender_account_id, timestamp, amount",sender_account_id별 현재 거래 시점 이전 3d 동안 amount의 count 집계; closed=left로 현재/동일시각 거래 제외,numeric,회,현재 거래 시점 이전 3d,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__sender__out__amount__sum__w3d,송신 계좌의 과거 3d 출금 금액 합계,,"ml_exp00.parquet: sender_account_id, timestamp, amount",sender_account_id별 현재 거래 시점 이전 3d 동안 amount의 sum 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 3d,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__sender__out__amount__mean__w3d,송신 계좌의 과거 3d 출금 금액 평균,,"ml_exp00.parquet: sender_account_id, timestamp, amount",sender_account_id별 현재 거래 시점 이전 3d 동안 amount의 mean 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 3d,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__sender__out__amount__std__w3d,송신 계좌의 과거 3d 출금 금액 표준편차,,"ml_exp00.parquet: sender_account_id, timestamp, amount",sender_account_id별 현재 거래 시점 이전 3d 동안 amount의 std 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 3d,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__sender__out__amount__max__w3d,송신 계좌의 과거 3d 출금 금액 최대값,,"ml_exp00.parquet: sender_account_id, timestamp, amount",sender_account_id별 현재 거래 시점 이전 3d 동안 amount의 max 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 3d,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__sender__out__tx_count__count__w7d,송신 계좌의 과거 7d 출금 거래 건수,,"ml_exp00.parquet: sender_account_id, timestamp, amount",sender_account_id별 현재 거래 시점 이전 7d 동안 amount의 count 집계; closed=left로 현재/동일시각 거래 제외,numeric,회,현재 거래 시점 이전 7d,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__sender__out__amount__sum__w7d,송신 계좌의 과거 7d 출금 금액 합계,,"ml_exp00.parquet: sender_account_id, timestamp, amount",sender_account_id별 현재 거래 시점 이전 7d 동안 amount의 sum 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 7d,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__sender__out__amount__mean__w7d,송신 계좌의 과거 7d 출금 금액 평균,,"ml_exp00.parquet: sender_account_id, timestamp, amount",sender_account_id별 현재 거래 시점 이전 7d 동안 amount의 mean 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 7d,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__sender__out__amount__std__w7d,송신 계좌의 과거 7d 출금 금액 표준편차,,"ml_exp00.parquet: sender_account_id, timestamp, amount",sender_account_id별 현재 거래 시점 이전 7d 동안 amount의 std 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 7d,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__sender__out__amount__max__w7d,송신 계좌의 과거 7d 출금 금액 최대값,,"ml_exp00.parquet: sender_account_id, timestamp, amount",sender_account_id별 현재 거래 시점 이전 7d 동안 amount의 max 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 7d,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__receiver__in__tx_count__count__w1h,수신 계좌의 과거 1h 입금 거래 건수,,"ml_exp00.parquet: receiver_account_id, timestamp, amount_received",receiver_account_id별 현재 거래 시점 이전 1h 동안 amount_received의 count 집계; closed=left로 현재/동일시각 거래 제외,numeric,회,현재 거래 시점 이전 1h,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__receiver__in__amount__sum__w1h,수신 계좌의 과거 1h 입금 금액 합계,,"ml_exp00.parquet: receiver_account_id, timestamp, amount_received",receiver_account_id별 현재 거래 시점 이전 1h 동안 amount_received의 sum 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 1h,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__receiver__in__amount__mean__w1h,수신 계좌의 과거 1h 입금 금액 평균,,"ml_exp00.parquet: receiver_account_id, timestamp, amount_received",receiver_account_id별 현재 거래 시점 이전 1h 동안 amount_received의 mean 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 1h,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__receiver__in__amount__std__w1h,수신 계좌의 과거 1h 입금 금액 표준편차,,"ml_exp00.parquet: receiver_account_id, timestamp, amount_received",receiver_account_id별 현재 거래 시점 이전 1h 동안 amount_received의 std 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 1h,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__receiver__in__amount__max__w1h,수신 계좌의 과거 1h 입금 금액 최대값,,"ml_exp00.parquet: receiver_account_id, timestamp, amount_received",receiver_account_id별 현재 거래 시점 이전 1h 동안 amount_received의 max 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 1h,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__receiver__in__tx_count__count__w6h,수신 계좌의 과거 6h 입금 거래 건수,,"ml_exp00.parquet: receiver_account_id, timestamp, amount_received",receiver_account_id별 현재 거래 시점 이전 6h 동안 amount_received의 count 집계; closed=left로 현재/동일시각 거래 제외,numeric,회,현재 거래 시점 이전 6h,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__receiver__in__amount__sum__w6h,수신 계좌의 과거 6h 입금 금액 합계,,"ml_exp00.parquet: receiver_account_id, timestamp, amount_received",receiver_account_id별 현재 거래 시점 이전 6h 동안 amount_received의 sum 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 6h,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__receiver__in__amount__mean__w6h,수신 계좌의 과거 6h 입금 금액 평균,,"ml_exp00.parquet: receiver_account_id, timestamp, amount_received",receiver_account_id별 현재 거래 시점 이전 6h 동안 amount_received의 mean 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 6h,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__receiver__in__amount__std__w6h,수신 계좌의 과거 6h 입금 금액 표준편차,,"ml_exp00.parquet: receiver_account_id, timestamp, amount_received",receiver_account_id별 현재 거래 시점 이전 6h 동안 amount_received의 std 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 6h,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__receiver__in__amount__max__w6h,수신 계좌의 과거 6h 입금 금액 최대값,,"ml_exp00.parquet: receiver_account_id, timestamp, amount_received",receiver_account_id별 현재 거래 시점 이전 6h 동안 amount_received의 max 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 6h,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__receiver__in__tx_count__count__w1d,수신 계좌의 과거 1d 입금 거래 건수,,"ml_exp00.parquet: receiver_account_id, timestamp, amount_received",receiver_account_id별 현재 거래 시점 이전 1d 동안 amount_received의 count 집계; closed=left로 현재/동일시각 거래 제외,numeric,회,현재 거래 시점 이전 1d,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__receiver__in__amount__sum__w1d,수신 계좌의 과거 1d 입금 금액 합계,,"ml_exp00.parquet: receiver_account_id, timestamp, amount_received",receiver_account_id별 현재 거래 시점 이전 1d 동안 amount_received의 sum 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 1d,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__receiver__in__amount__mean__w1d,수신 계좌의 과거 1d 입금 금액 평균,,"ml_exp00.parquet: receiver_account_id, timestamp, amount_received",receiver_account_id별 현재 거래 시점 이전 1d 동안 amount_received의 mean 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 1d,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__receiver__in__amount__std__w1d,수신 계좌의 과거 1d 입금 금액 표준편차,,"ml_exp00.parquet: receiver_account_id, timestamp, amount_received",receiver_account_id별 현재 거래 시점 이전 1d 동안 amount_received의 std 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 1d,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__receiver__in__amount__max__w1d,수신 계좌의 과거 1d 입금 금액 최대값,,"ml_exp00.parquet: receiver_account_id, timestamp, amount_received",receiver_account_id별 현재 거래 시점 이전 1d 동안 amount_received의 max 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 1d,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__receiver__in__tx_count__count__w3d,수신 계좌의 과거 3d 입금 거래 건수,,"ml_exp00.parquet: receiver_account_id, timestamp, amount_received",receiver_account_id별 현재 거래 시점 이전 3d 동안 amount_received의 count 집계; closed=left로 현재/동일시각 거래 제외,numeric,회,현재 거래 시점 이전 3d,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__receiver__in__amount__sum__w3d,수신 계좌의 과거 3d 입금 금액 합계,,"ml_exp00.parquet: receiver_account_id, timestamp, amount_received",receiver_account_id별 현재 거래 시점 이전 3d 동안 amount_received의 sum 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 3d,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__receiver__in__amount__mean__w3d,수신 계좌의 과거 3d 입금 금액 평균,,"ml_exp00.parquet: receiver_account_id, timestamp, amount_received",receiver_account_id별 현재 거래 시점 이전 3d 동안 amount_received의 mean 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 3d,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__receiver__in__amount__std__w3d,수신 계좌의 과거 3d 입금 금액 표준편차,,"ml_exp00.parquet: receiver_account_id, timestamp, amount_received",receiver_account_id별 현재 거래 시점 이전 3d 동안 amount_received의 std 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 3d,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__receiver__in__amount__max__w3d,수신 계좌의 과거 3d 입금 금액 최대값,,"ml_exp00.parquet: receiver_account_id, timestamp, amount_received",receiver_account_id별 현재 거래 시점 이전 3d 동안 amount_received의 max 집계; closed=left로 현재/동일시각 거래 제외,numeric,원,현재 거래 시점 이전 3d,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
ml-01,timehist__receiver__in__tx_count__count__w7d,수신 계좌의 과거 7d 입금 거래 건수,,"ml_exp00.parquet: receiver_account_id, timestamp, amount_received",receiver_account_id별 현재 거래 시점 이전 7d 동안 amount_received의 count 집계; closed=left로 현재/동일시각 거래 제외,numeric,회,현재 거래 시점 이전 7d,이전 window 이력이 없으면 0.0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외,,사용,,ML
